,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,hei_code
157,Biological and related sciences,Applied Biosciences,CR006,361.0,,,,361.0,,489.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
158,Physical sciences,Analytical and Pharmaceutical Chemistry,CR007,240.0,,,,240.0,,487.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
159,Agriculture,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),CR010,321.0,,,,321.0,,422.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
160,Information and Communication Technologies (ICTs),Software Development,CR016,307.0,,,,307.0,,413.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
161,Business and administration,Business (Common Entry),CR021,255.0,,,,255.0,,433.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
162,Business and administration,Business Administration,CR022,190.0,,,,190.0,,336.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
163,Welfare,Social Care Work,CR031,346.0,,,,346.0,,411.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
164,Personal services,Recreation and Leisure Management,CR032,298.0,,,,298.0,,378.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
165,Welfare,Community Development,CR035,100.0,,,,100.0,,251.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
166,Personal services,Tourism Management,CR041,216.0,,,,216.0,,399.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
167,Personal services,Hospitality Management,CR042,208.0,,,,208.0,,316.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
168,Transport services,Automotive Technology and Management,CR046,216.0,,,,216.0,,337.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
169,Architecture and construction,Civil Engineering,CR051,248.0,,,,248.0,,451.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
170,Architecture and construction,Construction,CR052,251.0,,,,251.0,,367.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
171,Arts,Interior Architecture,CR053,308.0,,,,308.0,,434.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
172,Engineering and engineering trades,Environmental Engineering,CR055,258.0,,,,258.0,,409.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
173,Engineering and engineering trades,Electronic Engineering,CR061,260.0,,,,260.0,,444.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
174,Engineering and engineering trades,Electrical Engineering,CR062,300.0,,,,300.0,,401.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
175,Engineering and engineering trades,Mechanical Engineering,CR071,261.0,,,,261.0,,444.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
176,Health,Biomedical Engineering,CR075,306.0,,,,306.0,,498.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
177,Architecture and construction,Architectural Technology,CR090,266.0,,,,266.0,,411.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
178,Transport services,Nautical Science at National Maritime College of Ireland,CR094,243.0,,,,243.0,,380.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
179,Engineering and engineering trades,Marine Engineering at National Maritime College of Ireland,CR095,255.0,,,,255.0,,389.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
180,Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,CR105,443.0,,,,443.0,,532.0,8,Cork Institute of Technology,,,,,,,,,,,,CR
181,Information and Communication Technologies (ICTs),Software Development,CR106,411.0,,,,411.0,,463.0,8,Cork Institute of Technology,,,,,,,,,,,,CR
182,Engineering and engineering trades,Mechanical Engineering,CR108,434.0,,,,434.0,,509.0,8,Cork Institute of Technology,,,,,,,,,,,,CR
183,Architecture and construction,Structural Engineering,CR109,394.0,,,,394.0,,423.0,8,Cork Institute of Technology,,,,,,,,,,,,CR
184,Transport services,Automotive Business Management and Technology,CR110,311.0,,,,311.0,,362.0,8,Cork Institute of Technology,,,,,,,,,,,,CR
185,Arts,Creative Digital Media,CR112,361.0,,,,361.0,,430.0,8,Cork Institute of Technology,,,,,,,,,,,,CR
186,Information and Communication Technologies (ICTs),Computer Systems,CR116,332.0,,,,332.0,,393.0,8,Cork Institute of Technology,,,,,,,,,,,,CR
187,Arts,Music at CIT Cork School of Music,CR121,868.0,,,,912.0,,1078.0,8,Cork Institute of Technology,#,,,,,,,,,,,CR
188,Arts,Popular Music: Electric Bass Guitar at CIT Cork School of Music,CR125,1088.0,,,,1088.0,,1088.0,8,Cork Institute of Technology,#,,,,,,,,,,,CR
189,Arts,Popular Music: Drums at CIT Cork School of Music,CR126,801.0,,,,801.0,,940.0,8,Cork Institute of Technology,#,,,,,,,,,,,CR
190,Arts,Popular Music: Electric Guitar at CIT Cork School of Music,CR127,838.0,,768.0,,768.0,,978.0,8,Cork Institute of Technology,#,,,,,,,,,,,CR
191,Arts,Popular Music: Keyboards at CIT Cork School of Music,CR128,840.0,,,,840.0,,881.0,8,Cork Institute of Technology,#,,,,,,,,,,,CR
