,Course Code,Course,EOS,Mid,Level,hei_code
326,DT546,Fine Art,668.0,813.0,8,DT
327,DT555,International Business and Languages,353.0,399.0,8,DT
328,DT559,Photography,700.0,926.0,8,DT
329,DT571,Social Care,394.0,424.0,8,DT
330,DT572,Early Childhood Education,385.0,403.0,8,DT
331,DT582,Journalism,347.0,373.0,8,DT
332,DT596,Print Media Technology and Management,252.0,311.0,8,DT
333,DT597,Creative and Cultural Industries,280.0,369.0,8,DT
334,DL821,"English, Media and Cultural Studies",211.0,317.0,8,DL
335,DL822,Arts Management,209.0,319.0,8,DL
336,DL823,Business Studies - Entrepreneurship and Management,260.0,316.0,8,DL
337,DL825,Applied Psychology,349.0,413.0,8,DL
338,DL826,Visual Communication Design,736.0,989.0,8,DL
339,DL827,Art,583.0,902.0,8,DL
340,DL828,"3D Design, Modelmaking and Digital Art",691.0,866.0,8,DL
341,DL829,Design for Stage and Screen (Costume Design),817.0,1021.0,8,DL
342,DL830,Design for Stage and Screen (Makeup Design),879.0,953.0,8,DL
343,DL831,Design for Stage and Screen (Production Design),893.0,1073.0,8,DL
344,DL832,Animation,855.0,1055.0,8,DL
345,DL833,Photography,636.0,791.0,8,DL
346,DL834,Film and Television Production,933.0,1011.0,8,DL
347,DL835,Creative Media Technologies,237.0,289.0,8,DL
348,DL836,Creative Computing,217.0,326.0,8,DL
349,DL837,New Media Studies,290.0,349.0,8,DL
350,DL838,Creative Music Production,746.0,873.0,8,DL
351,GC200,Business Studies (Cork),269.0,359.0,8,GC
352,GC201,Accounting and Finance (Cork),251.0,388.0,8,GC
353,GC230,Computing Science (Cork),228.0,327.0,8,GC
354,GC300,Business Studies (Limerick),251.0,302.0,8,GC
355,GC301,Accounting and Finance,307.0,314.0,8,GC
356,GC302,"Business Studies - (HRM, Limerick)",269.0,269.0,8,GC
357,GC305,International Hospitality Management (Limerick),327.0,327.0,8,GC
358,GC400,Business Studies (Dublin),246.0,297.0,8,GC
359,GC401,Accounting and Finance (Dublin),181.0,309.0,8,GC
360,GC402,"Business Studies (HRM, Dublin)",217.0,290.0,8,GC
361,GC403,Law (Dublin),225.0,308.0,8,GC
362,GC405,International Hospitality Management (Dublin),254.0,272.0,8,GC
363,GC407,"Business Studies (Marketing, Dublin)",246.0,330.0,8,GC
364,GC430,Computing Science (Dublin),217.0,269.0,8,GC
365,GC450,Journalism and Visual Media (Dublin),227.0,307.0,8,GC
366,GC462,Design Communication (Dublin),,,8,GC
367,GC489,Interior Architecture (Dublin),267.0,361.0,8,GC
368,GC494,Fashion Design (Dublin),,,8,GC
369,ID001,Accounting and Finance,229.0,291.0,8,ID
370,ID002,Business Studies,285.0,366.0,8,ID
371,ID003,Business Studies with Chinese,,,8,ID
372,BN101,Business,252.0,289.0,8,BN
373,BN103,Business and Information Technology,254.0,290.0,8,BN
374,BN104,Computing (Information Technology),260.0,293.0,8,BN
375,BN107,Applied Social Studies in Social Care,300.0,328.0,8,BN
376,BN108,Engineering (Common Entry with Award options),271.0,318.0,8,BN
377,BN109,Business (Common Entry with Award options),260.0,279.0,8,BN
378,BN110,International Business,253.0,308.0,8,BN
379,BN111,Sports Management and Coaching,270.0,298.0,8,BN
380,BN112,Creative Digital Media,280.0,329.0,8,BN
381,BN113,Horticulture,289.0,321.0,8,BN
382,BN114,Accounting and Finance,280.0,332.0,8,BN
383,BN115,Community and Youth Development,250.0,298.0,8,BN
384,BN117,Computer Engineering in Mobile Systems,273.0,311.0,8,BN
385,BN118,Early Childhood Care and Education,290.0,320.0,8,BN
386,BN119,Digital Marketing,270.0,308.0,8,BN
387,BN120,Digital Forensics and Cyber Security,281.0,326.0,8,BN
388,BN121,Mechatronic Engineering,276.0,340.0,8,BN
389,BN123,"Design,Technology and Innovation",297.0,318.0,8,BN
390,TA022,Creative Digital Media,260.0,318.0,8,TA
391,TA023,Advertising and Marketing Communications,235.0,299.0,8,TA
392,TA024,Early Childhood Care and Education,217.0,307.0,8,TA
393,TA025,Social Care Practice,261.0,297.0,8,TA
394,TA026,International Hospitality and Tourism Management,208.0,269.0,8,TA
395,TA027,Botanical Cuisine,236.0,273.0,8,TA
396,TA028,Digital Marketing Technologies,220.0,313.0,8,TA
397,TA121,Accounting and Finance,202.0,328.0,8,TA
398,TA122,Management,218.0,297.0,8,TA
399,TA123,Marketing Management,207.0,284.0,8,TA
400,TA125,International Business,229.0,300.0,8,TA
401,TA221,Electronic Engineering,251.0,321.0,8,TA
402,TA222,Mechanical Engineering,243.0,302.0,8,TA
403,TA223,Sustainable Energy Engineering,236.0,305.0,8,TA
404,TA224,Biomedical Design,218.0,324.0,8,TA
405,TA225,Automation Engineering,235.0,288.0,8,TA
406,TA226,Engineering Software,243.0,304.0,8,TA
407,TA321,Pharmaceutical Science,261.0,298.0,8,TA
408,TA322,Computing,200.0,294.0,8,TA
409,TA323,Computing with IT Management,243.0,309.0,8,TA
410,TA326,DNA and Forensic Analysis,300.0,362.0,8,TA
411,TA327,Sports Science and Health,341.0,381.0,8,TA
412,TA328,Computing with Language (French/German/Spanish),218.0,317.0,8,TA
413,TA329,Computing with Data Analytics,218.0,296.0,8,TA
414,AD101,First Year Art & Design (Common Entry),,550.0,8,AD
415,AD102,Graphic Design and Moving Image Design,,635.0,8,AD
416,AD103,Textile & Surface Design and Jewellery & Objects,,545.0,8,AD
417,AD202,Education & Design or Fine Art (Second Level Teaching),,580.0,8,AD
418,AD204,Fine Art,,600.0,8,AD
419,AD211,Fashion Design,,600.0,8,AD
420,AD212,Product Design,,600.0,8,AD
421,AD215,Visual Culture,300.0,338.0,8,AD
422,AD217,Illustration,,625.0,8,AD
423,AD222,Interaction Design,,657.0,8,AD
424,NC003,Computing (Degree Award options),261.0,316.0,8,NC
425,NC005,Human Resource Management,297.0,320.0,8,NC
426,NC009,Business,297.0,339.0,8,NC
427,NC010,Psychology,366.0,399.0,8,NC
428,NC020,Marketing Practice,270.0,307.0,8,NC
429,NC022,Accounting and Finance,338.0,376.0,8,NC
430,NC023,Technology Management (with specialisations),260.0,303.0,8,NC
431,NC025,Data Science,297.0,371.0,8,NC
432,RC001,Medicine - Undergraduate Entry (HPAT required),729.0,733.0,8,RC
433,RC004,Physiotherapy,532.0,542.0,8,RC
434,RC005,Pharmacy,555.0,566.0,8,RC
435,RC101,Medicine - Graduate Entry (GAMSAT required),60.0,62.0,8,RC
436,TR002,Music,414.0,473.0,8,TR
437,TR003,History,486.0,518.0,8,TR
438,TR004,Law,532.0,552.0,8,TR
439,TR005,Philosophy,391.0,446.0,8,TR
440,TR006,Psychology,555.0,577.0,8,TR
441,TR007,Clinical Speech and Language Studies,499.0,529.0,8,TR
442,TR009,Music Education,430.0,465.0,8,TR
443,TR012,History and Political Science,532.0,557.0,8,TR
444,TR015,"Philosophy, Political Science, Economics and Sociology",566.0,577.0,8,TR
445,TR016,Deaf Studies,337.0,372.0,8,TR
446,TR017,Law and Business,576.0,589.0,8,TR
447,TR018,Law and French,532.0,554.0,8,TR
448,TR019,Law and German,523.0,555.0,8,TR
449,TR020,Law and Political Science,567.0,600.0,8,TR
450,TR021,"Classics, Ancient History and Archaeology",377.0,495.0,8,TR
451,TR022,Early and Modern Irish,347.0,407.0,8,TR
452,TR023,English Studies,463.0,511.0,8,TR
453,TR024,European Studies,520.0,544.0,8,TR
454,TR025,Drama and Theatre Studies,489.0,531.0,8,TR
455,TR028,Ancient and Medieval History and Culture,339.0,451.0,8,TR
456,TR029,Political Science and Geography,477.0,500.0,8,TR
457,TR031,Mathematics,566.0,589.0,8,TR
