,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
867,Business and administration,Accounting,GA181,,,,,,,,8,Galway-Mayo Institute of Technology,,,
868,Business and administration,Business,GA182,,,,,,,,8,Galway-Mayo Institute of Technology,,,
869,Information and Communication Technologies (ICTs),Business Information Systems,GA183,,,,,,,,8,Galway-Mayo Institute of Technology,,,
870,Business and administration,Marketing and Sales,GA184,,,,,,,,8,Galway-Mayo Institute of Technology,,,
871,Business and administration,Finance and Economics,GA185,,,,,,,,8,Galway-Mayo Institute of Technology,,,
872,Business and administration,Business with Entrepreneurship,GA186,,,,,,,,8,Galway-Mayo Institute of Technology,,,
873,Agriculture,Rural Enterprise and Agri-Business,GA187,,,,,,,,8,Galway-Mayo Institute of Technology,,,
874,Social and behavioural sciences,Heritage Studies,GA272,,,,,,,,7,Galway-Mayo Institute of Technology,,avp,
875,Arts,Contemporary Art (portfolio),GA273,,,,,,,,7,Galway-Mayo Institute of Technology,#,,
876,Arts,Design,GA274,,,,,,,,7,Galway-Mayo Institute of Technology,,,
877,Arts,Film and Documentary,GA281,,,,,,,,8,Galway-Mayo Institute of Technology,,,
878,Social and behavioural sciences,Heritage Studies,GA282,,,,,,,,8,Galway-Mayo Institute of Technology,,,
879,Arts,Contemporary Art (portfolio),GA283,,,,,,,,8,Galway-Mayo Institute of Technology,#,,
880,Arts,Design,GA284,,,,,,,,8,Galway-Mayo Institute of Technology,,,
881,Education,"Education (Art, Design and Graphics)",GA285,,,,,,,,8,Galway-Mayo Institute of Technology,,,
882,Personal services,Business in Tourism,GA360,,,,,,,,6,Galway-Mayo Institute of Technology,,avp,
883,Personal services,Culinary Arts,GA361,,,,,,,,6,Galway-Mayo Institute of Technology,,,
884,Personal services,Hotel and Hospitality Operations,GA362,,,,,,,,6,Galway-Mayo Institute of Technology,,avp,
885,Social and behavioural sciences,Heritage Studies,GA364,,,,,,,,6,Galway-Mayo Institute of Technology,,avp,
886,Personal services,Hotel and Catering Management,GA370,,,,,,,,7,Galway-Mayo Institute of Technology,,avp,
887,Personal services,Event Management with Public Relations,GA376,,,,,,,,7,Galway-Mayo Institute of Technology,,,
888,Personal services,International Tourism Management,GA377,,,,,,,,7,Galway-Mayo Institute of Technology,,avp,
889,Manufacturing and processing,Culinary and Gastronomic Science,GA378,,,,,,,,7,Galway-Mayo Institute of Technology,,,
890,Personal services,International Hotel Management,GA380,,,,,,,,8,Galway-Mayo Institute of Technology,,,
891,Personal services,International Tourism Management,GA381,,,,,,,,8,Galway-Mayo Institute of Technology,,,
892,Manufacturing and processing,Culinary and Gastronomic Science,GA382,,,,,,,,8,Galway-Mayo Institute of Technology,,,
893,Personal services,Event Management with Public Relations,GA384,,,,,,,,8,Galway-Mayo Institute of Technology,,,
894,Architecture and construction,Construction Management,GA470,,,,,,,,7,Galway-Mayo Institute of Technology,,,
895,Architecture and construction,Quantity Surveying and Construction Economics,GA471,,,,,,,,7,Galway-Mayo Institute of Technology,,,
896,Architecture and construction,Architectural Technology,GA472,,,,,,,,7,Galway-Mayo Institute of Technology,,,
897,Architecture and construction,Civil Engineering,GA473,,,,,,,,7,Galway-Mayo Institute of Technology,,,
898,Architecture and construction,Construction Management,GA480,,,,,,,,8,Galway-Mayo Institute of Technology,,,
899,Architecture and construction,Quantity Surveying and Construction Economics,GA482,,,,,,,,8,Galway-Mayo Institute of Technology,,,
900,Architecture and construction,Architectural Technology,GA483,,,,,,,,8,Galway-Mayo Institute of Technology,,,
901,Architecture and construction,Civil Engineering,GA484,,,,,,,,8,Galway-Mayo Institute of Technology,,,
902,Engineering and engineering trades,Software and Electronic Engineering,GA570,,,,,,,,7,Galway-Mayo Institute of Technology,,,
903,Engineering and engineering trades,Software and Electronic Engineering,GA580,,,,,,,,8,Galway-Mayo Institute of Technology,,,
904,Engineering and engineering trades,Mechanical Engineering,GA670,,,,,,,,7,Galway-Mayo Institute of Technology,,,
905,Engineering and engineering trades,Energy Engineering,GA673,,,,,,,,7,Galway-Mayo Institute of Technology,,,
906,Engineering and engineering trades,Biomedical Engineering,GA674,,,,,,,,7,Galway-Mayo Institute of Technology,,,
907,Engineering and engineering trades,Agricultural Engineering,GA675,,,,,,,,7,Galway-Mayo Institute of Technology,,,
908,Engineering and engineering trades,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),GA676,,,,,,,,7,Galway-Mayo Institute of Technology,,,
909,Manufacturing and processing,Manufacturing Engineering Design,GA677,,,,,,,,7,Galway-Mayo Institute of Technology,,,
910,Engineering and engineering trades,Mechanical Engineering,GA680,,,,,,,,8,Galway-Mayo Institute of Technology,,,
911,Engineering and engineering trades,Energy Engineering,GA681,,,,,,,,8,Galway-Mayo Institute of Technology,,,
912,Engineering and engineering trades,Biomedical Engineering,GA682,,,,,,,,8,Galway-Mayo Institute of Technology,,,
913,Engineering and engineering trades,Agricultural Engineering,GA683,,,,,,,,8,Galway-Mayo Institute of Technology,,,
914,Engineering and engineering trades,Engineering Common Entry to Manu/Agri/Biomed/Energy/Mech Eng,GA684,,,,,,,,8,Galway-Mayo Institute of Technology,,,
915,Manufacturing and processing,Manufacturing Engineering Design,GA685,,,,,,,,8,Galway-Mayo Institute of Technology,,,
916,Biological and related sciences,Applied Freshwater and Marine Biology,GA770,,,,,,,,7,Galway-Mayo Institute of Technology,,,
917,Biological and related sciences,Applied Biology and Biopharmaceutical Science,GA771,,,,,,,,7,Galway-Mayo Institute of Technology,,,
918,Environment,Chemical and Pharmaceutical Science,GA772,,,,,,,,7,Galway-Mayo Institute of Technology,,,
919,Physical sciences,Physics and Instrumentation,GA773,,,,,,,,7,Galway-Mayo Institute of Technology,,,
920,Biological and related sciences,Science (Undenominated),GA774,,,,,,,,7,Galway-Mayo Institute of Technology,,,
921,Information and Communication Technologies (ICTs),Computing in Software Development,GA775,,,,,,,,7,Galway-Mayo Institute of Technology,,,
922,Information and Communication Technologies (ICTs),Computing and Digital Media,GA776,,,,,,,,7,Galway-Mayo Institute of Technology,,,
923,Agriculture,Agriculture and Environmental Management,GA777,,,,,,,,7,Galway-Mayo Institute of Technology,,,
924,Biological and related sciences,Applied Freshwater and Marine Biology,GA780,,,,,,,,8,Galway-Mayo Institute of Technology,,,
925,Biological and related sciences,Applied Biology and Biopharmaceutical Science,GA781,,,,,,,,8,Galway-Mayo Institute of Technology,,,
926,Environment,Chemical and Pharmaceutical Science,GA782,,,,,,,,8,Galway-Mayo Institute of Technology,,,
927,Physical sciences,Physics and Instrumentation,GA783,,,,,,,,8,Galway-Mayo Institute of Technology,,,
928,Biological and related sciences,Science (Undenominated),GA784,,,,,,,,8,Galway-Mayo Institute of Technology,,,
929,Health,Medical Science,GA785,,,,,,,,8,Galway-Mayo Institute of Technology,,,
930,Physical sciences,Forensic Science and Analysis,GA786,,,,,,,,8,Galway-Mayo Institute of Technology,,,
931,Information and Communication Technologies (ICTs),Computing in Software Development,GA787,,,,,,,,8,Galway-Mayo Institute of Technology,,,
932,Information and Communication Technologies (ICTs),Computing and Digital Media,GA788,,,,,,,,8,Galway-Mayo Institute of Technology,,,
933,Agriculture,Agriculture and Environmental Management,GA789,,,,,,,,8,Galway-Mayo Institute of Technology,,,
934,Personal services,Sport and Exercise Science,GA790,,,,,,,,8,Galway-Mayo Institute of Technology,,,
935,Biological and related sciences,Public Health Nutrition,GA791,,,,,,,,8,Galway-Mayo Institute of Technology,,,
936,Humanities (except languages),History and Geography,GA862,,,,,,,,6,Galway-Mayo Institute of Technology,,avp,
937,Education,Early Childhood Education and Care,GA864,,,,,,,,6,Galway-Mayo Institute of Technology,,avp,
938,Personal services,Outdoor Education and Leisure,GA870,,,,,,,,7,Galway-Mayo Institute of Technology,,avp,
939,Education,Early Childhood Education and Care,GA871,,,,,,,,7,Galway-Mayo Institute of Technology,,,
940,Social and behavioural sciences,Culture and Environment,GA872,,,,,,,,7,Galway-Mayo Institute of Technology,,avp,
941,Welfare,Community Development and Youth Work (Level 7),GA876,,,,,,,,7,Galway-Mayo Institute of Technology,,,
942,Welfare,Applied Social Care,GA879,,,,,,,,7,Galway-Mayo Institute of Technology,,,
943,Health,General Nursing,GA880,,*,,,,*,,8,Galway-Mayo Institute of Technology,,,
944,Health,Psychiatric Nursing,GA882,,,,,,,,8,Galway-Mayo Institute of Technology,,,
945,Personal services,Outdoor Education,GA885,,,,,,,,8,Galway-Mayo Institute of Technology,,,
946,Humanities (except languages),History and Geography,GA887,,,,,,,,8,Galway-Mayo Institute of Technology,,,
947,Welfare,Applied Social Care,GA889,,,,,,,,8,Galway-Mayo Institute of Technology,,,
948,Education,Early Childhood Education and Care,GA890,,,,,,,,8,Galway-Mayo Institute of Technology,,,
949,Environment,Geography and Outdoor Education,GA891,,,,,,,,8,Galway-Mayo Institute of Technology,,,
950,Welfare,Community Development and Youth Work (Level 8),GA892,,,,,,,,8,Galway-Mayo Institute of Technology,,,
951,Arts,Furniture Design and Manufacture,GA970,,,,,,,,7,Galway-Mayo Institute of Technology,,,
952,Arts,Furniture Making and Architectural Woodworking,GA971,,,,,,,,7,Galway-Mayo Institute of Technology,,,
953,Arts,Furniture and Digital Manufacturing,GA973,,,,,,,,7,Galway-Mayo Institute of Technology,,,
954,Arts,"Furniture Design, Making and Technology - Common Entry",GA974,,,,,,,,7,Galway-Mayo Institute of Technology,,,
955,Education,Education (Design Graphics and Construction),GA980,,,,,,,,8,Galway-Mayo Institute of Technology,,,
956,Arts,Furniture Design and Manufacture,GA981,,,,,,,,8,Galway-Mayo Institute of Technology,,,
957,Arts,Furniture Making and Architectural Woodworking,GA982,,,,,,,,8,Galway-Mayo Institute of Technology,,,
958,Arts,Furniture and Digital Manufacturing,GA983,,,,,,,,8,Galway-Mayo Institute of Technology,,,
959,Arts,"Furniture Design, Making and Technology - Common Entry",GA984,,,,,,,,8,Galway-Mayo Institute of Technology,,,
960,Arts,Arts (Joint-Honours),GY101,,,,,,,,8,"National University of Ireland, Galway",,,
961,Social and behavioural sciences,BSc (Psychology),GY104,,,,,,,,8,"National University of Ireland, Galway",,,
962,Humanities (except languages),Arts (History),GY105,,,,,,,,8,"National University of Ireland, Galway",,,
963,Education,Arts (Mathematics and Education),GY109,,,,,,,,8,"National University of Ireland, Galway",,,
964,Social and behavioural sciences,Arts (Children and Youth Studies - options),GY110,,,,,,,,8,"National University of Ireland, Galway",,,
965,Arts,Arts (English and Creative Writing),GY111,,,,,,,,8,"National University of Ireland, Galway",,,
966,Social and behavioural sciences,Arts with Human Rights,GY113,,,,,,,,8,"National University of Ireland, Galway",,,
967,Arts,Arts with Performing Arts Studies,GY115,,,,,,,,8,"National University of Ireland, Galway",,,
968,Arts,"Arts (Drama, Theatre and Performance Studies)",GY118,,,,,,,,8,"National University of Ireland, Galway",,,
969,Journalism and information,Arts (Journalism),GY119,,,,,,,,8,"National University of Ireland, Galway",,,
970,Arts,Na Dána (Cumarsáid agus Gaeilge),GY122,,,,,,,,8,"National University of Ireland, Galway",,,
971,Social and behavioural sciences,Applied Social Sciences,GY123,,,,,,,,8,"National University of Ireland, Galway",,,
972,Arts,Arts (Digital Arts and Technology),GY125,,,,,,,,8,"National University of Ireland, Galway",,,
973,Arts,Arts (Film and Digital Media),GY127,,,,,,,,8,"National University of Ireland, Galway",,,
974,Languages,Arts (Global Languages),GY128,,,,,,,,8,"National University of Ireland, Galway",,,
975,Arts,Arts (Global Experience),GY129,,,,,,,,8,"National University of Ireland, Galway",,,
976,Arts,Arts (Music),GY130,,,,,,,,8,"National University of Ireland, Galway",,,
977,Social and behavioural sciences,"Government (Politics, Economics and Law)",GY132,,,,,,,,8,"National University of Ireland, Galway",,,
978,Education,Education (Computer Science and Mathematical Studies),GY133,,,,,,,,8,"National University of Ireland, Galway",,,
979,Physical sciences,Geography and Geosystems,GY134,,,,,,,,8,"National University of Ireland, Galway",,,
980,Arts,Arts (Global Media),GY135,,,,,,,,8,"National University of Ireland, Galway",,,
981,Languages,Na Dána (Léann Teanga - options),GY136,,,,,,,,8,"National University of Ireland, Galway",,,
982,Business and administration,Commerce,GY201,,,,,,,,8,"National University of Ireland, Galway",,,
983,Business and administration,Commerce (International) with French,GY202,,,,,,,,8,"National University of Ireland, Galway",,,
984,Business and administration,Commerce (International) with German,GY203,,,,,,,,8,"National University of Ireland, Galway",,,
985,Business and administration,Commerce (International) with Spanish,GY204,,,,,,,,8,"National University of Ireland, Galway",,,
986,Business and administration,Business Information Systems (Work Placement and Optional Int`l Study),GY206,,,,,,,,8,"National University of Ireland, Galway",,,
987,Business and administration,Commerce (Accounting) including optional Global Experience year,GY207,,,,,,,,8,"National University of Ireland, Galway",,,
988,Business and administration,Commerce (Gaeilge),GY208,,,,,,,,8,"National University of Ireland, Galway",,,
989,Business and administration,Commerce (Global Experience),GY209,,,,,,,,8,"National University of Ireland, Galway",,,
990,Law,Law and Business,GY250,,,,,,,,8,"National University of Ireland, Galway",,,
991,Law,Law (BCL),GY251,,,,,,,,8,"National University of Ireland, Galway",,,
992,Law,Law (BCL) and Human Rights,GY252,,,,,,,,8,"National University of Ireland, Galway",,,
993,Law,Law and Taxation,GY253,,,,,,,,8,"National University of Ireland, Galway",,,
994,Law,"Law (BCL), Criminology and Criminal Justice",GY254,,,,,,,,8,"National University of Ireland, Galway",,,
995,Business and administration,Business Studies in International Hotel Management (interview),GY261,,,,,,,,8,"National University of Ireland, Galway",#,,
996,Business and administration,Commerce in International Hotel Management (interview),GY262,,,,,,,,8,"National University of Ireland, Galway",#,,
997,Biological and related sciences,Science,GY301,,,,,,,,8,"National University of Ireland, Galway",,,
998,Biological and related sciences,Biomedical Science,GY303,,,,,,,,8,"National University of Ireland, Galway",,,
999,Engineering and engineering trades,Biotechnology,GY304,,,,,,,,8,"National University of Ireland, Galway",,,
1000,Environment,Environmental Science,GY308,,,,,,,,8,"National University of Ireland, Galway",,,
1001,Mathematics and statistics,Financial Mathematics and Economics,GY309,,,,,,,,8,"National University of Ireland, Galway",,,
1002,Physical sciences,Marine Science,GY310,,,,,,,,8,"National University of Ireland, Galway",,,
1003,Hygiene and occupational health services,Environmental Health and Safety,GY313,,,,,,,,8,"National University of Ireland, Galway",,,
1004,Physical sciences,Earth and Ocean Sciences,GY314,,,,,,,,8,"National University of Ireland, Galway",,,
1005,Biological and related sciences,Biopharmaceutical Chemistry,GY318,,,,,,,,8,"National University of Ireland, Galway",,,
1006,Mathematics and statistics,Mathematical Science,GY319,,,,,,,,8,"National University of Ireland, Galway",,,
1007,Physical sciences,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",GY320,,,,,,,,8,"National University of Ireland, Galway",,,
1008,Biological and related sciences,Genetics and Genomics,GY321,,,,,,,,8,"National University of Ireland, Galway",,,
1009,Agriculture,Agricultural Sciences,GY322,,,,,,,,8,"National University of Ireland, Galway",,,
1010,Information and Communication Technologies (ICTs),Computer Science and Information Technology,GY350,,,,,,,,8,"National University of Ireland, Galway",,,
1011,Engineering and engineering trades,Engineering (Undenominated),GY401,,,,,,,,8,"National University of Ireland, Galway",,,
1012,Architecture and construction,Civil Engineering,GY402,,,,,,,,8,"National University of Ireland, Galway",,,
1013,Engineering and engineering trades,Mechanical Engineering,GY405,,,,,,,,8,"National University of Ireland, Galway",,,
1014,Engineering and engineering trades,Electronic and Computer Engineering,GY406,,,,,,,,8,"National University of Ireland, Galway",,,
1015,Engineering and engineering trades,Biomedical Engineering,GY408,,,,,,,,8,"National University of Ireland, Galway",,,
1016,Architecture and construction,Project and Construction Management,GY410,,,,,,,,8,"National University of Ireland, Galway",,,
1017,Engineering and engineering trades,Energy Systems Engineering,GY413,,,,,,,,8,"National University of Ireland, Galway",,,
1018,Engineering and engineering trades,Electrical and Electronic Engineering,GY414,,,,,,,,8,"National University of Ireland, Galway",,,
1019,Health,"Medicine (five year/six year course, HPAT required)",GY501,,*,,*,,*,,8,"National University of Ireland, Galway",#,,
1020,Health,Occupational Therapy,GY502,,,,,,,,8,"National University of Ireland, Galway",,,
1021,Health,Speech and Language Therapy,GY503,,,,,,,,8,"National University of Ireland, Galway",,,
1022,Health,Podiatric Medicine,GY504,,,,,,,,8,"National University of Ireland, Galway",,,
1023,Health,General Nursing (Galway and Portiuncula),GY515,,,,,,,,8,"National University of Ireland, Galway",,,
1024,Health,Mental Health Nursing,GY516,,,,,,,,8,"National University of Ireland, Galway",,,
1025,Health,Midwifery,GY517,,,,,,,,8,"National University of Ireland, Galway",,,
1026,Business and administration,Business,GB001,,,,,,,,7,Galway Business School,,avp,
1027,Business and administration,Business - Common Entry,LY107,,,,,,,,7,Letterkenny Institute of Technology,,avp,
1028,Business and administration,Business - Accounting,LY108,,,,,,,,8,Letterkenny Institute of Technology,,,
1029,Business and administration,Business,LY118,,,,,,,,8,Letterkenny Institute of Technology,,,
1030,Business and administration,Marketing with Online Technologies,LY128,,,,,,,,8,Letterkenny Institute of Technology,,avp,
1031,Personal services,Sports Studies,LY206,,,,,,,,6,Letterkenny Institute of Technology,,avp,
1032,Law,Law with Criminal Justice,LY207,,,,,,,,7,Letterkenny Institute of Technology,,avp,
1033,Law,Law,LY208,,,,,,,,8,Letterkenny Institute of Technology,,,
1034,Personal services,Sports and Exercise - Common Entry,LY228,,,,,,,,8,Letterkenny Institute of Technology,,,
1035,Personal services,Culinary Arts,LY317,,,,,,,,7,Letterkenny Institute of Technology,,avp,
1036,Personal services,Hospitality And Tourism - Common Entry,LY327,,,,,,,,7,Letterkenny Institute of Technology,,avp,
1037,Arts,Design - Common Entry,LY408,,,,,,,,8,Letterkenny Institute of Technology,#,,
1038,Arts,Digital Film and Video,LY427,,,,,,,,7,Letterkenny Institute of Technology,,avp,
1039,Arts,Animation,LY437,,,,,,,,7,Letterkenny Institute of Technology,#,avp,
1040,Arts,Fashion with Promotion,LY447,,,,,,,,7,Letterkenny Institute of Technology,#,avp,
1041,Arts,Graphic and Digital Design,LY457,,,,,,,,7,Letterkenny Institute of Technology,#,avp,
1042,Architecture and construction,Quantity Surveying,LY507,,,,,,,,7,Letterkenny Institute of Technology,,avp,
1043,Architecture and construction,Fire Safety Engineering,LY508,,,,,,,,8,Letterkenny Institute of Technology,,,
1044,Architecture and construction,Quantity Surveying,LY518,,,,,,,,8,Letterkenny Institute of Technology,,,
1045,Architecture and construction,Civil Engineering,LY527,,,,,,,,7,Letterkenny Institute of Technology,,avp,
1046,Architecture and construction,Construction Management,LY528,,,,,,,,8,Letterkenny Institute of Technology,,,
1047,Architecture and construction,Architectural Technology,LY538,,,,,,,,8,Letterkenny Institute of Technology,,avp,
1048,Engineering and engineering trades,Electric Vehicle Engineering,LY606,,,,,,,,6,Letterkenny Institute of Technology,,avp,
1049,Engineering and engineering trades,Electronic Engineering,LY607,,,,,,,,7,Letterkenny Institute of Technology,,avp,
1050,Engineering and engineering trades,Mechanical Engineering,LY608,,,,,,,,8,Letterkenny Institute of Technology,,,
1051,Engineering and engineering trades,Mechanical Engineering,LY617,,,,,,,,7,Letterkenny Institute of Technology,,avp,
1052,Engineering and engineering trades,Electronic Engineering,LY618,,,,,,,,8,Letterkenny Institute of Technology,,,
1053,Information and Communication Technologies (ICTs),Computer Games Development,LY707,,,,,,,,7,Letterkenny Institute of Technology,,,
1054,Information and Communication Technologies (ICTs),Applied Computing,LY708,,,,,,,,8,Letterkenny Institute of Technology,,,
1055,Information and Communication Technologies (ICTs),Computing,LY717,,,,,,,,7,Letterkenny Institute of Technology,,avp,
1056,Information and Communication Technologies (ICTs),Computer Security and Digital Forensics,LY737,,,,,,,,7,Letterkenny Institute of Technology,,avp,
1057,Information and Communication Technologies (ICTs),Computer Science,LY748,,,,,,,,8,Letterkenny Institute of Technology,,avp,
1058,Health,Pharmacy Technician,LY806,,,,,,,,6,Letterkenny Institute of Technology,,avp,
1059,Health,Dental Nursing,LY816,,,,,,,,6,Letterkenny Institute of Technology,,,
1060,Biological and related sciences,Bioscience,LY817,,,,,,,,7,Letterkenny Institute of Technology,,,
1061,Biological and related sciences,Science - Common Entry,LY818,,,,,,,,8,Letterkenny Institute of Technology,,,
1062,Health,Health Science with Physiotherapy Studies,LY826,,,,,,,,6,Letterkenny Institute of Technology,,,
1063,Agriculture,Agriculture - Common Entry,LY828,,,,,,,,8,Letterkenny Institute of Technology,,,
1064,Health,Health Science with Occupational Therapy Studies,LY836,,,,,,,,6,Letterkenny Institute of Technology,,,
1065,Biological and related sciences,Food Science and Nutrition,LY837,,,,,,,,7,Letterkenny Institute of Technology,,avp,
1066,Health,Health Science with Dietetics Studies,LY846,,,,,,,,6,Letterkenny Institute of Technology,,avp,
1067,Veterinary,Veterinary Nursing,LY847,,*,,,,,,7,Letterkenny Institute of Technology,,,
1068,Biological and related sciences,Pharmaceutical and Medicinal Science,LY867,,,,,,,,7,Letterkenny Institute of Technology,,avp,
1069,Agriculture,Agriculture,LY877,,,,,,,,7,Letterkenny Institute of Technology,,,
1070,Welfare,"Early Childhood Care, Health and Education",LY906,,,,,,,,6,Letterkenny Institute of Technology,,,
1071,Health,General Nursing,LY908,,*,,,,*,,8,Letterkenny Institute of Technology,,,
1072,Health,Health and Social Care,LY916,,,,,,,,6,Letterkenny Institute of Technology,,,
1073,Health,Psychiatric Nursing,LY918,,*,,,,,,8,Letterkenny Institute of Technology,,,
1074,Health,Intellectual Disability Nursing,LY928,,,,,,,,8,Letterkenny Institute of Technology,,,
1075,Welfare,"Early Childhood Care, Health and Education",LY968,,,,,,,,8,Letterkenny Institute of Technology,,,
1076,Health,Health and Social Care - Common Entry,LY978,,,,,,,,8,Letterkenny Institute of Technology,,,
1077,Arts,Contemporary and Applied Theatre Studies,MI001,,,,,,,,8,Mary Immaculate College,,,
1078,Arts,Arts,MI002,,,,,,,,8,Mary Immaculate College,,,
1079,Education,Education - Primary Teaching - International,MI004,,,,,,,,8,Mary Immaculate College,,,
1080,Education,Education - Primary Teaching,MI005,,,,,,,,8,Mary Immaculate College,,,
1081,Education,Education - Primary Teaching - Gaeltacht Applicants,MI006,,,,,,,,8,Mary Immaculate College,#,,
1082,Education,Early Childhood Care and Education,MI007,,,,,,,,8,Mary Immaculate College,,,
1083,Education,Education and Psychology - Primary Teaching,MI008,,,,,,,,8,Mary Immaculate College,,,
1084,Education,"Education, Business Studies and Accounting",MI009,,,,,,,,8,Mary Immaculate College,,,
1085,Education,"Education, Business Studies and Religious Studies",MI010,,,,,,,,8,Mary Immaculate College,,,
1086,Education,"Education, Gaeilge and Religious Studies",MI011,,,,,,,,8,Mary Immaculate College,,,
1087,Education,"Education, Gaeilge and Business Studies",MI012,,,,,,,,8,Mary Immaculate College,,,
1088,Education,"Education, Mathematics and Gaeilge",MI013,,,,,,,,8,Mary Immaculate College,,,
1089,Education,"Education, Mathematics and Business Studies",MI014,,,,,,,,8,Mary Immaculate College,,,
1090,Welfare,Counselling and Psychotherapy,CI110,,,,,,,,8,Irish College of Humanities & Applied Sciences,,,
1091,Welfare,Counselling and Psychotherapy with Addiction Studies,CI111,,,,,,,,8,Irish College of Humanities & Applied Sciences,,,
1092,Welfare,Counselling and Psychotherapy with Youth Studies,CI112,,,,,,,,8,Irish College of Humanities & Applied Sciences,,,
1093,Arts,"Art and Design (Common Entry, portfolio)",LC110,,,,,,,,8,Limerick Institute of Technology,#,,
1094,Arts,Fashion and Textiles for Product and Costume (portfolio),LC114,,,,,,,,8,Limerick Institute of Technology,#,,
1095,Education,"Art and Design Teacher Education (LIT and UL, portfolio)",LC115,,,,,,,,8,Limerick Institute of Technology,#,,
1096,Business and administration,Digital Marketing,LC220,,,,,,,,8,Limerick Institute of Technology,,,
1097,Business and administration,Accounting and Finance,LC221,,,,,,,,6,Limerick Institute of Technology,,,
1098,Business and administration,Marketing and Management,LC222,,,,,,,,6,Limerick Institute of Technology,,,
1099,Law,Law and Taxation,LC223,,,,,,,,8,Limerick Institute of Technology,,,
1100,Business and administration,Accounting and Finance,LC224,,,,,,,,8,Limerick Institute of Technology,,,
1101,Business and administration,Marketing and Management,LC225,,,,,,,,8,Limerick Institute of Technology,,,
1102,Business and administration,Enterprise and Innovation,LC226,,,,,,,,8,Limerick Institute of Technology,,,
1103,Personal services,Sports Development and Coaching,LC228,,,,,,,,6,Limerick Institute of Technology,,,
1104,Information and Communication Technologies (ICTs),Business with Computing,LC230,,,,,,,,7,Limerick Institute of Technology,,,
1105,Information and Communication Technologies (ICTs),Software Development,LC233,,,,,,,,8,Limerick Institute of Technology,,,
1106,Information and Communication Technologies (ICTs),Immersive Digital Media and Spatial Computing,LC234,,,,,,,,8,Limerick Institute of Technology,,,
1107,Information and Communication Technologies (ICTs),Internet Systems Development,LC235,,,,,,,,7,Limerick Institute of Technology,,,
1108,Information and Communication Technologies (ICTs),Internet Systems Development,LC236,,,,,,,,8,Limerick Institute of Technology,,,
1109,Information and Communication Technologies (ICTs),Computer Networks and Systems Management,LC239,,,,,,,,8,Limerick Institute of Technology,,,
1110,Architecture and construction,Construction Management,LC241,,,,,,,,8,Limerick Institute of Technology,,,
1111,Architecture and construction,Property Valuation and Management,LC242,,,,,,,,8,Limerick Institute of Technology,,,
1112,Architecture and construction,Quantity Surveying,LC243,,,,,,,,8,Limerick Institute of Technology,,,
1113,Architecture and construction,Built Environment (Common Entry),LC248,,,,,,,,8,Limerick Institute of Technology,,,
1114,Architecture and construction,Civil Engineering,LC251,,,,,,,,7,Limerick Institute of Technology,,,
1115,Architecture and construction,Civil Engineering Management,LC252,,,,,,,,8,Limerick Institute of Technology,,,
1116,Biological and related sciences,Applied Biology,LC260,,,,,,,,7,Limerick Institute of Technology,,,
1117,Health,Medical Technology,LC263,,,,,,,,8,Limerick Institute of Technology,,,
1118,Physical sciences,Forensic and Pharmaceutical Sciences,LC265,,,,,,,,8,Limerick Institute of Technology,,,
1119,Physical sciences,Drug and Medicinal Product Analysis,LC266,,,,,,,,8,Limerick Institute of Technology,,,
1120,Physical sciences,Forensic and Pharmaceutical Sciences,LC267,,,,,,,,7,Limerick Institute of Technology,,,
1121,Health,Medical Technology,LC268,,,,,,,,7,Limerick Institute of Technology,,,
1122,Arts,Music Technology and Production,LC270,,,,,,,,7,Limerick Institute of Technology,,,
1123,Engineering and engineering trades,Electrical Engineering,LC271,,,,,,,,7,Limerick Institute of Technology,,,
1124,Engineering and engineering trades,Electrical Engineering,LC275,,,,,,,,8,Limerick Institute of Technology,,,
1125,Arts,Creative Broadcast and Film Production,LC276,,,,,,,,7,Limerick Institute of Technology,,,
1126,Engineering and engineering trades,Industrial Automation and Robotic Systems,LC277,,,,,,,,7,Limerick Institute of Technology,,,
1127,Engineering and engineering trades,Renewable and Electrical Energy Engineering,LC278,,,,,,,,7,Limerick Institute of Technology,,,
1128,Engineering and engineering trades,Electronic Engineering with Computer Systems,LC279,,,,,,,,7,Limerick Institute of Technology,,,
1129,Engineering and engineering trades,Automobile Technology,LC281,,,,,,,,6,Limerick Institute of Technology,,,
1130,Engineering and engineering trades,Precision Engineering,LC283,,,,,,,,7,Limerick Institute of Technology,,,
1131,Engineering and engineering trades,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",LC284,,,,,,,,6,Limerick Institute of Technology,,,
1132,Engineering and engineering trades,Mechanical Engineering,LC285,,,,,,,,7,Limerick Institute of Technology,,,
1133,Engineering and engineering trades,Road Transport Technology and Management,LC286,,,,,,,,7,Limerick Institute of Technology,,,
1134,Engineering and engineering trades,Mechanical Engineering,LC288,,,,,,,,8,Limerick Institute of Technology,,,
1135,Engineering and engineering trades,Precision Engineering,LC289,,,,,,,,8,Limerick Institute of Technology,,,
1136,Personal services,Sports Development Performance,LC290,,,,,,,,7,Limerick Institute of Technology,,,
