,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
210,Social and behavioural sciences,Social Science,CK102,,,,,,,,8,University College Cork (NUI),,,
211,Arts,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,,,,,,,,8,University College Cork (NUI),#,,
212,Arts,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,,,,*,,,,8,University College Cork (NUI),,,
213,Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,,,,,,,,8,University College Cork (NUI),,,
214,Languages,Arts International - 4 years,CK108,,*,,,,,,8,University College Cork (NUI),,,
215,Languages,English - 3 years or 4 years (International Pathway),CK109,,,,,,,,8,University College Cork (NUI),,,
216,Languages,World Languages,CK110,,,,,,,,8,University College Cork (NUI),,,
217,Welfare,Early Years and Childhood Studies,CK111,,,,,,,,8,University College Cork (NUI),,,
218,Arts,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,,,,,,,,8,University College Cork (NUI),#,,
219,Social and behavioural sciences,Criminology - 3 years or 4 years (International Pathway),CK113,,,,,,,,8,University College Cork (NUI),,,
220,Welfare,Social Science (Youth and Community Work),CK114,,,,,,,,8,University College Cork (NUI),#,,
221,Welfare,Social Work - Mature Applicants only,CK115,,,,,,,,8,University College Cork (NUI),,,
222,Arts,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,,,,,,,,8,University College Cork (NUI),,,
223,Social and behavioural sciences,Applied Psychology,CK120,,,,*,,*,,8,University College Cork (NUI),,,
224,Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,,,,,,,,8,University College Cork (NUI),,,
225,Social and behavioural sciences,Government and Political Science,CK122,,,,,,,,8,University College Cork (NUI),,,
226,Humanities (except languages),Anthropology,CK123,,,,,,,,8,University College Cork (NUI),,,
227,Education,Education - Gaeilge,CK124,,,,,,,,8,University College Cork (NUI),,,
228,Education,Sports Studies and Physical Education,CK125,,,,*,,*,,8,University College Cork (NUI),,,
229,Business and administration,Commerce,CK201,,,,*,,*,,8,University College Cork (NUI),,,
230,Business and administration,Accounting,CK202,,,,*,,*,,8,University College Cork (NUI),,,
231,Information and Communication Technologies (ICTs),Business Information Systems,CK203,,,,,,,,8,University College Cork (NUI),,,
232,Business and administration,Finance,CK204,,*,,*,,,,8,University College Cork (NUI),,,
233,Business and administration,Commerce (International) with French,CK205,,,,,,,,8,University College Cork (NUI),,,
234,Business and administration,Commerce (International) with German,CK206,,,,,,,,8,University College Cork (NUI),,,
235,Business and administration,Commerce (International) with Italian,CK207,,,,,,,,8,University College Cork (NUI),,,
