,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v,hei_code
141,Business and administration,Business Administration,CR022,172.0,,,,172.0,,348.0,7,Cork Institute of Technology,,,,CR
142,Welfare,Social Care Work,CR031,360.0,,,,360.0,,440.0,7,Cork Institute of Technology,,,,CR
143,Personal services,Recreation and Leisure Management,CR032,343.0,,,,343.0,,422.0,7,Cork Institute of Technology,,,,CR
144,Welfare,Community Development,CR035,133.0,,,,133.0,,337.0,7,Cork Institute of Technology,,,,CR
145,Personal services,Tourism Management,CR041,212.0,,180.0,,180.0,,343.0,7,Cork Institute of Technology,,avp,,CR
146,Personal services,Hospitality Management,CR042,205.0,,,,205.0,,356.0,7,Cork Institute of Technology,,,,CR
147,Transport services,Automotive Technology and Management,CR046,227.0,,,,227.0,,368.0,7,Cork Institute of Technology,,,,CR
148,Architecture and construction,Civil Engineering,CR051,261.0,,,,259.0,,431.0,7,Cork Institute of Technology,,,,CR
149,Architecture and construction,Construction,CR052,270.0,,,,270.0,,368.0,7,Cork Institute of Technology,,,,CR
150,Arts,Interior Architecture,CR053,375.0,,,,375.0,,463.0,7,Cork Institute of Technology,,,,CR
151,Engineering and engineering trades,Environmental Engineering,CR055,297.0,,,,297.0,,476.0,7,Cork Institute of Technology,,,,CR
152,Engineering and engineering trades,Electronic Engineering,CR061,300.0,,,,300.0,,465.0,7,Cork Institute of Technology,,,,CR
153,Engineering and engineering trades,Electrical Engineering,CR062,320.0,,,,320.0,,413.0,7,Cork Institute of Technology,,,,CR
154,Engineering and engineering trades,Mechanical Engineering,CR071,263.0,,,,263.0,,475.0,7,Cork Institute of Technology,,,,CR
155,Health,Biomedical Engineering,CR075,315.0,,,,315.0,,509.0,7,Cork Institute of Technology,,,,CR
156,Architecture and construction,Architectural Technology,CR090,308.0,,,,308.0,,475.0,7,Cork Institute of Technology,,,,CR
157,Transport services,Nautical Science at National Maritime College of Ireland,CR094,256.0,,,,256.0,,404.0,7,Cork Institute of Technology,,,,CR
158,Engineering and engineering trades,Marine Engineering at National Maritime College of Ireland,CR095,234.0,,,,234.0,,441.0,7,Cork Institute of Technology,,,,CR
159,Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,CR105,443.0,,,,443.0,,532.0,8,Cork Institute of Technology,,,,CR
160,Information and Communication Technologies (ICTs),Software Development,CR106,431.0,,,,431.0,,476.0,8,Cork Institute of Technology,,,,CR
161,Engineering and engineering trades,Mechanical Engineering,CR108,434.0,,,,434.0,,509.0,8,Cork Institute of Technology,,,,CR
162,Architecture and construction,Structural Engineering,CR109,396.0,,,,396.0,,465.0,8,Cork Institute of Technology,,,,CR
163,Transport services,Automotive Business Management and Technology,CR110,336.0,,,,336.0,,388.0,8,Cork Institute of Technology,,,,CR
164,Arts,Creative Digital Media at CIT Crawford College of Art and Design,CR112,390.0,,,,390.0,,455.0,8,Cork Institute of Technology,,,,CR
165,Information and Communication Technologies (ICTs),Computer Systems,CR116,365.0,,,,365.0,,400.0,8,Cork Institute of Technology,,,,CR
166,Arts,Music at CIT Cork School of Music,CR121,904.0,,904.0,,904.0,,1141.0,8,Cork Institute of Technology,#,avp,,CR
167,Arts,Popular Music at CIT Cork School of Music,CR125,1028.0,,,,1028.0,,1029.0,8,Cork Institute of Technology,#,avp,,CR
168,Arts,Musical Theatre at CIT Cork School of Music,CR130,525.0,,,,525.0,,600.0,8,Cork Institute of Technology,#,,,CR
169,Business and administration,Business Information Systems,CR150,350.0,,,,350.0,,409.0,8,Cork Institute of Technology,,,,CR
170,Arts,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,450.0,,,,450.0,,450.0,8,Cork Institute of Technology,#,,,CR
171,Arts,Fine Art at CIT Crawford College of Art and Design,CR220,400.0,,,,400.0,,400.0,8,Cork Institute of Technology,#,,,CR
172,Arts,Photography with New Media at CIT Crawford College of Art and Design,CR225,435.0,,,,435.0,,560.0,8,Cork Institute of Technology,#,avp,,CR
173,Physical sciences,Physical Sciences (Common Entry),CR300,260.0,,,,260.0,,565.0,7,Cork Institute of Technology,,,,CR
174,Physical sciences,Physical Sciences (Common Entry),CR305,260.0,,,,260.0,,357.0,8,Cork Institute of Technology,,,,CR
175,Information and Communication Technologies (ICTs),IT Management,CR310,347.0,,,,347.0,,372.0,8,Cork Institute of Technology,,,,CR
176,Biological and related sciences,Biomedical Science - Offered jointly by CIT and UCC,CR320,590.0,*,,,590.0,*,601.0,8,Cork Institute of Technology,,,,CR
177,Biological and related sciences,Pharmaceutical Biotechnology,CR325,466.0,,,,466.0,,488.0,8,Cork Institute of Technology,,,,CR
178,Health,Nutrition and Health Science,CR333,425.0,,,,425.0,,455.0,8,Cork Institute of Technology,,,,CR
