,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
1203,Health,Dental Technology,TR803,531.0,,486.0,,359.0,,,7,Trinity College Dublin,#,,,,,,,,,,
1204,Health,Children`s and General Nursing (Integrated),TR911,,,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1205,Health,Midwifery,TR913,,,,*,,*,,8,Trinity College Dublin,,,,,,,,,,,
1206,Engineering and engineering trades,Electronic Engineering,TU601,,,,,,,,6,Technological University Dublin,,avp,,,,,,,,,
1207,Engineering and engineering trades,Computer Engineering,TU602,,,,,,,,6,Technological University Dublin,,,,,,,,,,,
1208,Engineering and engineering trades,Mechanical Engineering,TU603,,,,,,,,6,Technological University Dublin,,avp,,,,,,,,,
1209,Personal services,Bar and Restaurant Management,TU641,,,,,,,,6,Technological University Dublin,,,,,,,,,,,
1210,Personal services,Culinary Arts,TU642,,,,,,,,6,Technological University Dublin,,avp,,,,,,,,,
1211,Personal services,Culinary Arts (Professional Cookery Practice),TU643,,,,,,,,6,Technological University Dublin,,,,,,,,,,,
1212,Personal services,Food Management and Entrepreneurship,TU644,,,,,,,,6,Technological University Dublin,,,,,,,,,,,
1213,Manufacturing and processing,Food Science and Management,TU645,,,,,,,,6,Technological University Dublin,,,,,,,,,,,
1214,Biological and related sciences,Applied Biology,TU651,,,,,,,,6,Technological University Dublin,,avp,,,,,,,,,
1215,Information and Communication Technologies (ICTs),Computing,TU652,,,,,,,,6,Technological University Dublin,,,,,,,,,,,
1216,Information and Communication Technologies (ICTs),Computing (Information Technology),TU653,,,,,,,,6,Technological University Dublin,,,,,,,,,,,
1217,Health,Pharmacy Technician Studies,TU654,,,,,,,,6,Technological University Dublin,,,,,,,,,,,
1218,Information and Communication Technologies (ICTs),Computing (Networking Technologies) Learn and Work,TU655,,,,,,,,6,Technological University Dublin,#,avp,,,,,,,,,
1219,Business and administration,Business,TU671,,,,,,,,6,Technological University Dublin,,,,,,,,,,,
1220,Business and administration,Business (Common entry),TU672,,,,,,,,6,Technological University Dublin,,avp,,,,,,,,,
1221,Business and administration,Business Management,TU673,,,,,,,,6,Technological University Dublin,,,,,,,,,,,
1222,Business and administration,Business Studies,TU674,,,,,,,,6,Technological University Dublin,,,,,,,,,,,
1223,Business and administration,Marketing,TU675,,,,,,,,6,Technological University Dublin,,,,,,,,,,,
1224,Business and administration,Retail Management and Marketing,TU676,,,,,,,,6,Technological University Dublin,,,,,,,,,,,
1225,Engineering and engineering trades,Automation Engineering,TU701,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1226,Engineering and engineering trades,Biomedical Design,TU702,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1227,Engineering and engineering trades,Building Engineering,TU703,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1228,Architecture and construction,Civil Engineering,TU704,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1229,Engineering and engineering trades,Electrical and Control Engineering,TU705,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1230,Engineering and engineering trades,Electrical Services Engineering,TU706,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1231,Engineering and engineering trades,Electronic Engineering,TU707,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1232,Engineering and engineering trades,Engineering (Common Entry with Award options),TU708,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1233,Engineering and engineering trades,Engineering (General Entry),TU709,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1234,Engineering and engineering trades,Engineering Reliability Management,TU710,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1235,Engineering and engineering trades,Mechatronic Engineering,TU711,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1236,Engineering and engineering trades,Sustainable Energy and Environmental Engineering,TU712,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1237,Engineering and engineering trades,Computer Engineering,TU713,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1238,Engineering and engineering trades,Electronics and Communications Engineering,TU714,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1239,Engineering and engineering trades,Engineering Software,TU715,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1240,Engineering and engineering trades,Networking Technology,TU716,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1241,Engineering and engineering trades,Mechanical Engineering,TU717,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1242,Engineering and engineering trades,Mechanical Engineering,TU718,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1243,Manufacturing and processing,"Design,Technology and Innovation",TU719,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1244,Engineering and engineering trades,Automotive Management and Technology,TU720,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1245,Engineering and engineering trades,Aviation Technology,TU721,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1246,Manufacturing and processing,Process Instrumentation and Automation Learn and Work,TU722,,,,,,,,7,Technological University Dublin,#,avp,v,,,,,,,,
1247,Business and administration,"Auctioneering, Valuation and Estate Agency",TU731,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1248,Manufacturing and processing,Timber Product Technology,TU732,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1249,Personal services,Sports Management and Coaching,TU735,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1250,Biological and related sciences,Sports Science and Health,TU736,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1251,Personal services,Baking and Pastry Arts Management,TU741,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1252,Personal services,Culinary Arts,TU742,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1253,Personal services,Hospitality Management,TU745,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1254,Personal services,International Hospitality and Tourism Management,TU746,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1255,Personal services,Tourism Management,TU747,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1256,Biological and related sciences,Biosciences,TU751,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1257,Biological and related sciences,DNA and Forensic Analysis,TU752,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1258,Physical sciences,Industrial and Environmental Physics,TU754,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1259,Physical sciences,Science (General Entry),TU755,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1260,Information and Communication Technologies (ICTs),Computing,TU756,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1261,Information and Communication Technologies (ICTs),Computing (Information Technology),TU757,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1262,Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU758,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1263,Information and Communication Technologies (ICTs),Information Technology Management,TU759,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1264,Biological and related sciences,Bioanalysis,TU760,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1265,Health,Ophthalmic Dispensing,TU761,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1266,Physical sciences,Medicinal Chemistry and Pharmaceutical Sciences,TU762,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1267,Biological and related sciences,Pharmaceutical Science,TU763,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1268,Business and administration,Business,TU771,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1269,Business and administration,Business (Common Entry with Award options),TU772,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1270,Business and administration,Management,TU774,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1271,Business and administration,Accounting and Finance,TU775,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1272,Business and administration,Accounting and Finance,TU776,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1273,Business and administration,Business and Information Technology,TU777,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1274,Business and administration,International Business,TU778,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1275,Business and administration,International Business,TU779,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1276,Business and administration,Advertising and Marketing Communications,TU780,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1277,Business and administration,Digital Marketing,TU781,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1278,Business and administration,Digital Marketing,TU782,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1279,Business and administration,Marketing,TU783,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1280,Welfare,Applied Social Studies in Social Care,TU791,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1281,Social and behavioural sciences,Community and Youth Development,TU792,,,,,,,,7,Technological University Dublin,,avp,,,,,,,,,
1282,Welfare,Early Childhood Care and Education,TU793,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1283,Welfare,Early Childhood Care and Education,TU794,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1284,Arts,Visual Merchandising and Display,TU795,,,,,,,,7,Technological University Dublin,#,,,,,,,,,,
1285,Arts,Creative Digital Media,TU796,,,,,,,,7,Technological University Dublin,,,,,,,,,,,
1286,Engineering and engineering trades,Biomedical Design,TU801,,,,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1287,Engineering and engineering trades,Electrical Services and Energy Management,TU802,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1288,Engineering and engineering trades,Electronic Engineering,TU803,,,243.0,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1289,Engineering and engineering trades,Engineering (Common Entry with Award options),TU804,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1290,Engineering and engineering trades,Engineering (General Entry),TU805,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1291,Engineering and engineering trades,Sustainable Energy Engineering,TU806,,,,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1292,Engineering and engineering trades,Computer Engineering in Mobile Systems,TU807,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1293,Engineering and engineering trades,Engineering Software,TU808,,,260.0,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1294,Engineering and engineering trades,Mechanical Engineering,TU809,,,,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1295,Engineering and engineering trades,Mechatronic Engineering,TU810,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1296,Arts,Product Design,TU811,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1297,Manufacturing and processing,"Design,Technology and Innovation",TU812,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1298,Engineering and engineering trades,Automation Engineering,TU813,,,218.0,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1299,Transport services,Transport Operations and Technology,TU814,,,,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1300,Architecture and construction,Architectural Technology,TU831,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1301,Architecture and construction,Architecture (Suitability Test and Interview),TU832,,,,,,,,8,Technological University Dublin,#,,,,,,,,,,
1302,Architecture and construction,Construction Management,TU833,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1303,Architecture and construction,Geographic Science,TU834,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1304,Architecture and construction,Planning and Environmental Management,TU835,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1305,Architecture and construction,Property Economics (Valuation Surveying),TU836,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1306,Architecture and construction,Quantity Surveying and Construction Economics,TU837,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1307,Environment,Analytical Chemistry (Environmental Forensic and Pharmaceutical),TU851,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1308,Physical sciences,Chemical Sciences with Medicinal Chemistry,TU852,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1309,Biological and related sciences,Science (General Entry),TU854,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1310,Physical sciences,Science with Nanotechnology,TU855,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1311,Information and Communication Technologies (ICTs),Computer Science,TU856,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1312,Information and Communication Technologies (ICTs),Computer Science (Infrastructure),TU857,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1313,Information and Communication Technologies (ICTs),Computer Science (International),TU858,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1314,Information and Communication Technologies (ICTs),Computing,TU859,,,,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1315,Information and Communication Technologies (ICTs),Computing (Information Technology),TU860,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1316,Information and Communication Technologies (ICTs),Computing with Language (French/German/Spanish),TU861,,,308.0,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1317,Information and Communication Technologies (ICTs),Computing with Data Analytics,TU862,,,226.0,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1318,Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU863,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1319,Biological and related sciences,DNA and Forensic Analysis,TU864,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1320,Information and Communication Technologies (ICTs),Computing with IT Management,TU865,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1321,Health,Biomedical and Molecular Diagnostics,TU866,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1322,Health,Biomedical Science,TU867,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1323,Health,Clinical Measurement Science,TU868,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1324,Hygiene and occupational health services,Environmental Health,TU869,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1325,Health,Human Nutrition and Dietetics,TU870,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1326,Health,Optometry,TU871,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1327,Biological and related sciences,Public Health Nutrition,TU872,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1328,Mathematics and statistics,Industrial Mathematics,TU873,,,250.0,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1329,Mathematics and statistics,Mathematical Sciences,TU874,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1330,Biological and related sciences,Pharmaceutical Healthcare,TU875,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1331,Biological and related sciences,Pharmaceutical Science,TU876,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1332,Physical sciences,Physics Technology,TU877,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1333,Physical sciences,Physics with Energy and Environment,TU878,,,337.0,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1334,Health,Physics with Medical Physics and Bioengineering,TU879,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1335,Physical sciences,Physics with Data Science,TU880,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1336,Manufacturing and processing,Food Innovation,TU881,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1337,Biological and related sciences,Nutraceuticals in Health and Nutrition,TU882,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1338,Business and administration,Business,TU901,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1339,Business and administration,Business (Common Entry with Award options),TU902,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1340,Business and administration,Business and Management,TU903,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1341,Business and administration,Business and Law,TU904,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1342,Social and behavioural sciences,Economics and Finance,TU905,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1343,Business and administration,Human Resource Management,TU906,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1344,Business and administration,Logistics and Supply Chain Management,TU907,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1345,Business and administration,Management,TU908,,,,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1346,Business and administration,Accounting and Finance,TU909,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1347,Business and administration,Accounting and Finance,TU910,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1348,Business and administration,Accounting and Finance,TU911,,,,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1349,Information and Communication Technologies (ICTs),Business Analytics,TU912,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1350,Business and administration,Business and Information Technology,TU913,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1351,Information and Communication Technologies (ICTs),Business Computing,TU914,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1352,Business and administration,International Business,TU915,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1353,Business and administration,International Business,TU916,,,235.0,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1354,Law,Law (LLB ) with a Language,TU917,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1355,Law,Law (LLB),TU918,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1356,Business and administration,Advertising and Marketing Communications,TU919,,,,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1357,Business and administration,Digital Marketing,TU920,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1358,Business and administration,Digital Marketing Technologies,TU921,,,,,,,,8,Technological University Dublin,,avp,v,,,,,,,,
1359,Business and administration,Marketing,TU922,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1360,Business and administration,Marketing Management,TU923,,,,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1361,Business and administration,E-Commerce in Retailing,TU924,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1362,Business and administration,Retail and Services Management,TU925,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1363,Personal services,Sports Management and Coaching,TU935,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1364,Biological and related sciences,Sports Science and Health,TU936,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1365,Personal services,Botanical Cuisine,TU941,,,,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1366,Personal services,Culinary Arts,TU942,,,212.0,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1367,Personal services,Culinary Entrepreneurship,TU943,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1368,Personal services,Culinary Science,TU944,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1369,Personal services,International Hospitality and Tourism Management,TU951,,,184.0,,,,,8,Technological University Dublin,,avp,v,,,,,,,,
1370,Personal services,International Hospitality Management,TU952,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1371,Personal services,Tourism and Digital Marketing,TU953,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1372,Personal services,Event Management,TU954,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1373,Personal services,Sports & Leisure Management,TU955,,,,,,,,8,Technological University Dublin,,avp,,,,,,,,,
1374,Arts,Commercial Modern Music,TU961,,,,,,,,8,Technological University Dublin,#,avp,,,,,,,,,
1375,Arts,Drama (Performance),TU962,,,,,,,,8,Technological University Dublin,#,,,,,,,,,,
1376,Arts,Music,TU963,,,,,,,,8,Technological University Dublin,#,,,,,,,,,,
1377,Business and administration,International Business and Languages,TU965,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1378,Languages,Languages and English Studies,TU966,,,,,,,,8,Technological University Dublin,,avp,v,,,,,,,,
1379,Arts,Languages and International Tourism,TU967,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1380,Arts,Contemporary Visual Culture,TU971,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1381,Arts,Creative and Cultural Industries,TU972,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1382,Arts,Design - Visual Communication,TU973,,,,,,,,8,Technological University Dublin,#,,,,,,,,,,
1383,Arts,Fine Art,TU974,,,,,,,,8,Technological University Dublin,#,,,,,,,,,,
1384,Arts,Interior Design,TU975,,,,,,,,8,Technological University Dublin,#,,,,,,,,,,
1385,Arts,Photography,TU976,,,,,,,,8,Technological University Dublin,#,,,,,,,,,,
1386,Arts,Creative Digital Media,TU981,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1387,Arts,Creative Digital Media,TU982,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1388,Arts,Film and Broadcasting,TU983,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1389,Information and Communication Technologies (ICTs),Game Design,TU984,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1390,Journalism and information,Journalism,TU985,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1391,Business and administration,Print Media Technology and Management,TU986,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1392,Welfare,Applied Social Studies in Social Care,TU991,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1393,Social and behavioural sciences,Community and Youth Development,TU992,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1394,Welfare,Early Childhood Care and Education,TU993,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1395,Welfare,Early Childhood Care and Education,TU994,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1396,Education,Early Childhood Education,TU995,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1397,Social and behavioural sciences,Social Care,TU996,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1398,Welfare,Applied Social Care,TU997,,,,,,,,8,Technological University Dublin,,,,,,,,,,,
1399,Information and Communication Technologies (ICTs),Applied Computing (options),WD001,,,,,,,,8,Waterford Institute of Technology,,avp,,,,,,,,,
1400,Physical sciences,Science (options),WD002,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1401,Business and administration,Business,WD003,,,,,,,,6,Waterford Institute of Technology,,avp,,,,,,,,,
1402,Health,Health Sciences (options),WD005,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1403,Personal services,Exercise Sciences (options),WD006,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1404,Engineering and engineering trades,Engineering (options),WD007,,,,,,,,8,Waterford Institute of Technology,,avp,,,,,,,,,
1405,Engineering and engineering trades,Electronic Engineering,WD010,,,,,,,,6,Waterford Institute of Technology,,,,,,,,,,,
1406,Engineering and engineering trades,Mechanical Engineering,WD011,,,,,,,,6,Waterford Institute of Technology,,,,,,,,,,,
1407,Law,Legal Studies,WD013,,,,,,,,6,Waterford Institute of Technology,,,,,,,,,,,
1408,Welfare,Applied Social Care,WD018,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1409,Personal services,Recreation and Sport Management,WD019,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1410,Architecture and construction,Construction Management and Engineering,WD025,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1411,Arts,Music,WD027,,,,,,,,8,Waterford Institute of Technology,#,,,,,,,,,,
1412,Business and administration,Business (options),WD048,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1413,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Forestry,WD076,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1414,Business and administration,Accounting,WD084,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1415,Personal services,Hospitality Management,WD091,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1416,Architecture and construction,Architectural Technology,WD094,,,,,,,,7,Waterford Institute of Technology,,avp,,,,,,,,,
1417,Agriculture,Horticulture (Waterford - Kildalton),WD096,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1418,Agriculture,Horticulture (Dublin - National Botanic Gardens),WD097,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1419,Health,General Nursing,WD116,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1420,Health,Psychiatric Nursing,WD117,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1421,Health,Intellectual Disability Nursing,WD120,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1422,Agriculture,Agriculture,WD126,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1423,Business and administration,International Business,WD134,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1424,Arts,Design (Visual Communications),WD137,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1425,Architecture and construction,Civil Engineering,WD139,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1426,Law,Laws,WD140,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1427,Architecture and construction,Architecture,WD144,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1428,Physical sciences,Pharmaceutical Science,WD147,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1429,Welfare,Early Childhood Studies,WD149,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1430,Law,Criminal Justice Studies,WD150,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1431,Information and Communication Technologies (ICTs),Software Systems Development,WD151,,,,,,,,7,Waterford Institute of Technology,,avp,,,,,,,,,
1432,Arts,Visual Art,WD152,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1433,Information and Communication Technologies (ICTs),Multimedia Applications Development,WD153,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1434,Information and Communication Technologies (ICTs),Information Technology,WD155,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1435,Business and administration,Business,WD159,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1436,Information and Communication Technologies (ICTs),Computer Forensics and Security,WD161,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1437,Architecture and construction,Quantity Surveying,WD162,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1438,Social and behavioural sciences,Psychology,WD163,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1439,Biological and related sciences,Food Science with Business,WD164,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1440,Personal services,Culinary Arts,WD172,,,,,,,,6,Waterford Institute of Technology,,avp,,,,,,,,,
1441,Personal services,Hospitality Studies,WD173,,,,,,,,6,Waterford Institute of Technology,,,,,,,,,,,
1442,Personal services,Tourism,WD174,,,,,,,,6,Waterford Institute of Technology,,,,,,,,,,,
1443,Physical sciences,Pharmaceutical Science,WD175,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1444,Biological and related sciences,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",WD177,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1445,Engineering and engineering trades,Electrical Engineering,WD182,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1446,Business and administration,Retail Management,WD184,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1447,Personal services,Sports Coaching and Performance,WD186,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1448,Welfare,Social Science,WD187,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1449,Health,Applied Health Care,WD188,,,,,,,,7,Waterford Institute of Technology,,,,,,,,,,,
1450,Agriculture,Agricultural Science,WD191,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1451,Welfare,Social Care Practice,WD192,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1452,Business and administration,Marketing and Digital Media,WD193,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1453,Personal services,Culinary Arts,WD194,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
1454,Architecture and construction,Architectural and Building Information Modelling Technology,WD195,,,,,,,,8,Waterford Institute of Technology,,,,,,,,,,,
